2026-06-09 22:31:43 - POST /reindex/stream - 200 - 0.62ms
2026-06-09 22:31:43 - GET /logs/stream - 200 - 1.33ms
2026-06-09 22:31:53 - GET /docs - 200 - 0.00ms
2026-06-09 22:31:55 - GET /search/overview - 200 - 79.86ms
2026-06-09 22:32:03 - GET /docs - 200 - 0.00ms
2026-06-09 22:32:04 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:32:13 - GET /docs - 200 - 0.00ms
2026-06-09 22:32:23 - GET /docs - 200 - 1.61ms
2026-06-09 22:32:33 - GET /docs - 200 - 0.00ms
2026-06-09 22:32:43 - GET /docs - 200 - 1.09ms
2026-06-09 22:32:53 - GET /docs - 200 - 0.00ms
2026-06-09 22:33:03 - GET /docs - 200 - 2.02ms
2026-06-09 22:33:13 - GET /docs - 200 - 2.91ms
2026-06-09 22:33:23 - GET /docs - 200 - 0.00ms
2026-06-09 22:33:33 - GET /docs - 200 - 0.00ms
2026-06-09 22:33:43 - GET /docs - 200 - 1.10ms
2026-06-09 22:33:53 - GET /docs - 200 - 0.96ms
2026-06-09 22:34:03 - GET /docs - 200 - 0.00ms
2026-06-09 22:34:13 - GET /docs - 200 - 0.00ms
2026-06-09 22:34:23 - GET /docs - 200 - 6.36ms
2026-06-09 22:34:33 - GET /docs - 200 - 0.00ms
2026-06-09 22:34:43 - GET /docs - 200 - 4.99ms
2026-06-09 22:34:53 - GET /docs - 200 - 0.00ms
2026-06-09 22:35:03 - GET /docs - 200 - 4.28ms
2026-06-09 22:35:13 - GET /docs - 200 - 0.00ms
2026-06-09 22:35:23 - GET /docs - 200 - 0.00ms
2026-06-09 22:35:33 - GET /docs - 200 - 0.00ms
2026-06-09 22:35:43 - GET /docs - 200 - 0.00ms
2026-06-09 22:35:53 - GET /docs - 200 - 2.03ms
2026-06-09 22:36:03 - GET /docs - 200 - 0.60ms
2026-06-09 22:36:13 - GET /docs - 200 - 0.00ms
2026-06-09 22:36:23 - GET /docs - 200 - 0.00ms
2026-06-09 22:36:33 - GET /docs - 200 - 0.00ms
2026-06-09 22:36:43 - GET /docs - 200 - 0.00ms
2026-06-09 22:36:53 - GET /docs - 200 - 0.00ms
2026-06-09 22:37:03 - GET /docs - 200 - 0.00ms
2026-06-09 22:37:13 - GET /docs - 200 - 0.00ms
2026-06-09 22:37:23 - GET /docs - 200 - 0.00ms
2026-06-09 22:37:33 - GET /docs - 200 - 0.00ms
2026-06-09 22:37:43 - GET /docs - 200 - 0.00ms
2026-06-09 22:37:53 - GET /docs - 200 - 0.00ms
2026-06-09 22:38:03 - GET /docs - 200 - 0.78ms
2026-06-09 22:38:13 - GET /docs - 200 - 2.13ms
2026-06-09 22:38:23 - GET /docs - 200 - 0.59ms
2026-06-09 22:38:33 - GET /docs - 200 - 0.58ms
2026-06-09 22:38:43 - GET /docs - 200 - 0.00ms
2026-06-09 22:38:53 - GET /docs - 200 - 0.59ms
